ScientificName	AphiaID	ImageLink	Group
Florenciella	205049	https://roscoff-culture-collection.org/sites/default/files/rcc-pictures/RCC1650.jpg	Actinopteri
Aphia minuta	126868	http://www.ictioterm.es/especies/fotos_auxiliares/L/Aphia_minuta_2_L.jpg	Actinopteri
Setaphyes cimarensis	1433131	https://media.springernature.com/full/springer-static/image/art%3A10.1007%2Fs12526-017-0651-1/MediaObjects/12526_2017_651_Fig3_HTML.gif?as=webp	Allomalorhagida
Paranemonia cinerea	100830	https://www.cibsub.cat/rcs_gene/Paranemonia_cinerea08.jpg	Anthozoa
Paracyathus pulchellus	135163	https://www.mer-littoral.org/05/photos/paracyathus-pulchellus-0m.jpg	Anthozoa
Oikopleura dioica	103407	https://evodevogenomics-unibarcelona.weebly.com/uploads/2/1/9/1/21911022/___2523985.jpg	Appendicularia
Pycnoclavella communis	422931	https://www.mer-littoral.org/32/photos/pycnoclavella-communis-0m.jpg	Ascidiacea
Ascidiella scabra	103719	https://www.marlin.ac.uk/assets/images/marlin/species/web/o_ascsca.jpg	Ascidiacea
Chaetoceros socialis	149123	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/alexandra_chaetocerossocialis_mecklenburgbight1_20070527154651_small.jpg	Bacillariophyceae
Chaetoceros densus	149121	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/chaetocerosdensus2l_pnw.jpg	Bacillariophyceae
Chaetoceros danicus	149120	http://media.nordicmicroalgae.org/large/Chaetoceros%20danicus_3.jpg	Bacillariophyceae
Chaetoceros didymus	149122	http://media.nordicmicroalgae.org/large/Chaetoceros%20didymus_1.jpg	Bacillariophyceae
Chaetoceros curvisetus	149221	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/alexandra_chaetoceros_curvisetus_240909_20091010001003_small.jpg	Bacillariophyceae
Chaetoceros compressus	149129	https://images.marinespecies.org/thumbs/41944_chaetoceros-compressus.jpg?w=700	Bacillariophyceae
Chaetoceros debilis	961758	https://www.eoas.ubc.ca/research/phytoplankton/diatoms/centric/chaetoceros/images/small/C_debilis_40xDIC_ann.jpg	Bacillariophyceae
Chaetoceros eibenii	160521	http://media.nordicmicroalgae.org/large/Chaetoceros%20eibenii_1.jpg	Bacillariophyceae
Cerataulina bergonii	961694	https://upload.wikimedia.org/wikipedia/commons/f/fe/Cerataulina_pelagica.jpg?20081012004840	Bacillariophyceae
Helicotheca tamesis	157440	https://static.inaturalist.org/photos/47756739/large.jpg	Bacillariophyceae
Pleurosigma	149181	http://cfb.unh.edu/phycokey/Choices/Bacillariophyceae/Pennate/biraphes/biraphe_unicells/biraphe_unicells_asymmetric/PLEUROSIGMA/Pleurosigma_02_600x574.jpg	Bacillariophyceae
Guinardia	149111	http://media.nordicmicroalgae.org/large/Guinardia%20flaccida_2.jpg	Bacillariophyceae
Proboscia alata	149168	http://media.nordicmicroalgae.org/large/Proboscia%20alata_4.jpg	Bacillariophyceae
Rhizosolenia delicatula	149114	https://images.marinespecies.org/thumbs/41937_guinardia-delicatula.jpg?w=700	Bacillariophyceae
Rhizosolenia setigera	149115	https://images.marinespecies.org/thumbs/39698_rhizosolenia-setigera.jpg?w=700	Bacillariophyceae
Rhizosolenia semispina	163348	http://media.nordicmicroalgae.org/large/Rhizosolenia%20hebetata%20f.%20semispina_3.jpg	Bacillariophyceae
Rhizosolenia imbricata	149116	https://inaturalist-open-data.s3.amazonaws.com/photos/1328818/large.jpg	Bacillariophyceae
Thalassionema nitzschioides	149093	https://upload.wikimedia.org/wikipedia/commons/4/41/Thalasionema_nitzhioides.jpg	Bacillariophyceae
Skeletonema costatum	149074	https://www.biodiversidadvirtual.org/common/4images/templates/responsive/images/blank.png	Bacillariophyceae
Odontella aurita	149050	https://upload.wikimedia.org/wikipedia/commons/e/e7/Odontella_aurita_cells.jpg	Bacillariophyceae
Caecitellus	103991	https://content.eol.org/data/media/9f/6d/aa/776.27472565.jpg	Bicoecea
Cafeteria	103989	https://roscoff-culture-collection.org/sites/default/files/rcc-pictures/RCC1074.jpg	Bicoecea
Atrina fragilis	146524	https://images.marinespecies.org/thumbs/56687_atrina-fragilis.jpg?w=700	Bivalvia
Penilia avirostris	106272	https://upload.wikimedia.org/wikipedia/commons/3/36/Penilia_avirostris.jpg	Branchiopoda
Pleopis polyphemoides	247981	https://nathistoc.bio.uci.edu/crustacea/Cladocera/Pleopis%20polyphemoides/F07%20Cladoceran1b.jpg	Branchiopoda
Podon intermedius	106276	https://www.aphotomarine.com/images/branchiopoda/branchiopoda_podon_intermedius_16-06-17_1.jpg	Branchiopoda
Pseudevadne tergestina	106278	https://nathistoc.bio.uci.edu/crustacea/Cladocera/Pseudevadne%20tergestina/B04%20Cladoceran1b.jpg	Branchiopoda
Sycon raphanus	132257	https://litoraldegranada.ugr.es/wp-content/uploads/2022/01/Sra1port.jpg	Calcarea
Acartia (Acartia) danae	346026	https://v3.boldsystems.org/pics/OOBKY/OSU2019098-018%2B1573842290.jpg	Copepoda
Acartia	104108	https://sio-legacy.ucsd.edu/zooplanktonguide/sites/default/files/Acartia_negligens_1x3_0.jpg	Copepoda
Euchirella rostrata	104303	https://images.marinespecies.org/thumbs/111098_euchirella-rostrata.jpg?w=700	Copepoda
Haloptilus longicornis	104431	https://images.marinespecies.org/thumbs/111094_haloptilus-longicornis.jpg?w=700	Copepoda
Calanus helgolandicus	104466	https://www.mindenpictures.com/cache/pcache2/80085435.jpg	Copepoda
Calanus	104152	https://earthlingnature.files.wordpress.com/2016/06/calanus_glacialis.jpg	Copepoda
Mesocalanus tenuicornis	104468	https://images.marinespecies.org/thumbs/38206_mesocalanus-tenuicornis.jpg?w=700	Copepoda
Nannocalanus minor	104469	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000025/photos/T4000025-002__cpi321-0541__Nannocalanus-minor.jpg	Copepoda
Neocalanus gracilis	104471	https://www.researchgate.net/profile/Billy-Wagey/publication/287562823/figure/fig20/AS:469168395952154@1488869870716/Entire-female-individual-of-Neocalanus-gracilis.png	Copepoda
Candacia bipinnata	104475	https://images.marinespecies.org/thumbs/38055_candacia-bipinnata.jpg?w=700	Copepoda
Candacia simplex	220914	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B12%5D%2B1513247170.jpg	Copepoda
Candacia ethiopica	104478	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000717/photos/T4000717-002__cpi111-0002__Candacia-ethiopica.jpg	Copepoda
Candacia armata	104474	https://v3.boldsystems.org/pics/COCLA/COPCLAD_367%2B1480101888.jpg	Copepoda
Candacia	104157	https://images.marinespecies.org/thumbs/38055_candacia-bipinnata.jpg?w=700	Copepoda
Centropages typicus	104499	https://media.collections.yale.edu/thumbnail/ypm/70b45824-b37e-4c76-be95-1e58f172c27d	Copepoda
Centropages hamatus	104496	https://images.marinespecies.org/thumbs/134838_centropages-hamatus.jpg?w=700	Copepoda
Centropages violaceus	104500	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B16%5D%2B1513247676.jpg	Copepoda
Centropages bradyi	104491	https://images.marinespecies.org/thumbs/38062_centropages-bradyi.jpg?w=700	Copepoda
