
code	|	name	|	preferred name	|	taxid
3	|	ScientificName	|	 	|	 
1	|	Florenciella	|	 	|	236786
1	|	Aphia minuta	|	 	|	441899
3	|	Setaphyes cimarensis	|	 	|	 
3	|	Paranemonia cinerea	|	 	|	 
1	|	Paracyathus pulchellus	|	 	|	130085
1	|	Oikopleura dioica	|	 	|	34765
1	|	Pycnoclavella communis	|	 	|	406073
1	|	Ascidiella scabra	|	 	|	1298853
1	|	Chaetoceros socialis	|	 	|	163503
1	|	Chaetoceros densus	|	 	|	2589062
1	|	Chaetoceros danicus	|	 	|	426631
1	|	Chaetoceros didymus	|	 	|	49238
1	|	Chaetoceros curvisetus	|	 	|	230516
1	|	Chaetoceros compressus	|	 	|	426629
1	|	Chaetoceros debilis	|	 	|	122233
1	|	Chaetoceros eibenii	|	 	|	2082236
3	|	Cerataulina bergonii	|	 	|	 
1	|	Helicotheca tamesis	|	 	|	374047
1	|	Pleurosigma	|	 	|	197752
1	|	Guinardia	|	 	|	216800
1	|	Proboscia alata	|	 	|	216777
1	|	Rhizosolenia delicatula	|	 	|	1244696
1	|	Rhizosolenia setigera	|	 	|	3005
3	|	Rhizosolenia semispina	|	 	|	 
1	|	Rhizosolenia imbricata	|	 	|	216768
1	|	Thalassionema nitzschioides	|	 	|	33649
1	|	Skeletonema costatum	|	 	|	2843
1	|	Odontella aurita	|	 	|	265563
1	|	Caecitellus	|	 	|	127147
1	|	Cafeteria	|	 	|	33652
1	|	Atrina fragilis	|	 	|	192015
1	|	Penilia avirostris	|	 	|	124140
1	|	Pleopis polyphemoides	|	 	|	186178
1	|	Podon intermedius	|	 	|	141401
1	|	Pseudevadne tergestina	|	 	|	186180
1	|	Sycon raphanus	|	 	|	56443
3	|	Acartia (Acartia) danae	|	 	|	 
1	|	Acartia	|	 	|	121148
1	|	Euchirella rostrata	|	 	|	503028
1	|	Haloptilus longicornis	|	 	|	749005
1	|	Calanus helgolandicus	|	 	|	114068
1	|	Calanus	|	 	|	6836
1	|	Mesocalanus tenuicornis	|	 	|	149013
1	|	Nannocalanus minor	|	 	|	134924
1	|	Neocalanus gracilis	|	 	|	211078
1	|	Candacia bipinnata	|	 	|	248471
1	|	Candacia simplex	|	 	|	883817
1	|	Candacia ethiopica	|	 	|	207967
1	|	Candacia armata	|	 	|	261850
1	|	Candacia	|	 	|	207966
1	|	Centropages typicus	|	 	|	463189
1	|	Centropages hamatus	|	 	|	136183
1	|	Centropages violaceus	|	 	|	862097
1	|	Centropages bradyi	|	 	|	248467
1	|	Centropages chierchiae	|	 	|	1267141
1	|	Centropages	|	 	|	136182
1	|	Clausocalanus arcuicornis	|	 	|	148996
1	|	Clausocalanus furcatus	|	 	|	149001
1	|	Clausocalanus	|	 	|	148995
1	|	Ctenocalanus vanus	|	 	|	182798
1	|	Pseudocalanus elongatus	|	 	|	136184
1	|	Euchaeta marina	|	 	|	544693
1	|	Lucicutia	|	 	|	544704
3	|	Metridia lucens lucens	|	 	|	 
3	|	Pleuromamma abdominalis abdominalis	|	 	|	 
3	|	Pleuromamma gracilis gracilis	|	 	|	 
1	|	Pleuromamma borealis	|	 	|	748990
1	|	Pleuromamma gracilis	|	 	|	749010
1	|	Pleuromamma	|	 	|	148583
1	|	Calocalanus pavo	|	 	|	749177
1	|	Calocalanus	|	 	|	749175
3	|	Labidocera wollastoni	|	 	|	 
1	|	Rhincalanus cornutus	|	 	|	248754
3	|	Rhincalanus cornutus cornutus	|	 	|	 
1	|	Scolecithricella	|	 	|	121143
1	|	Scolecithrix danae	|	 	|	544707
1	|	Subeucalanus crassus	|	 	|	248757
1	|	Temora longicornis	|	 	|	261852
1	|	Temora stylifera	|	 	|	399051
1	|	Corycaeus	|	 	|	749183
1	|	Farranula rostrata	|	 	|	1124504
1	|	Oithona nana	|	 	|	136191
1	|	Oithona	|	 	|	136190
1	|	Oncaea	|	 	|	349674
1	|	Sapphirina nigromaculata	|	 	|	2949293
1	|	Sapphirina	|	 	|	749173
1	|	Euterpina acutifrons	|	 	|	163466
1	|	Harpacticoida	|	 	|	41212
1	|	Leucocryptos	|	 	|	299205
1	|	Chroococcales	|	 	|	1118
1	|	Pseudopedinella	|	 	|	35683
1	|	Amphidinium operculatum	|	 	|	107036
1	|	Amphidinium	|	 	|	2960
1	|	Blastodinium	|	 	|	363324
1	|	Haplozoon	|	 	|	160616
1	|	Azadinium	|	 	|	632149
1	|	Amphisolenia	|	 	|	584886
1	|	Dinophysis sacculus	|	 	|	83649
1	|	Dinophysis fortii	|	 	|	150623
1	|	Dinophysis acuminata	|	 	|	47934
1	|	Dinophysis caudata	|	 	|	150622
1	|	Dinophysis	|	 	|	47933
1	|	Ornithocercus	|	 	|	566468
1	|	Sinophysis	|	 	|	1162738
3	|	Tripos teres	|	 	|	 
1	|	Tripos carriensis	|	 	|	2795478
1	|	Tripos extensus	|	 	|	644171
3	|	Tripos longissimus	|	 	|	 
1	|	Ceratiaceae	|	 	|	39451
1	|	Ceratocorys	|	 	|	66799
3	|	Cladopyxis	|	 	|	 
3	|	Palaeophalacroma unicinctum	|	 	|	 
1	|	Amylax triacantha	|	 	|	447208
1	|	Gonyaulax	|	 	|	2912
1	|	Lingulodinium polyedra	|	 	|	160621
1	|	Alexandrium leei	|	 	|	2937
1	|	Alexandrium catenella	|	 	|	2925
1	|	Alexandrium taylorii	|	 	|	109157
1	|	Alexandrium tamarense	|	 	|	2926
1	|	Ostreopsis	|	 	|	78882
1	|	Karenia mikimotoi	|	 	|	225107
1	|	Akashiwo	|	 	|	143671
1	|	Cochlodinium	|	 	|	77299
1	|	Cochlodinium	|	 	|	77299
1	|	Gymnodinium catenatum	|	 	|	39447
1	|	Gymnodinium	|	 	|	2955
1	|	Gyrodinium	|	 	|	60594
1	|	Gyrodinium	|	 	|	60594
1	|	Karlodinium	|	 	|	157684
