ScientificName	AphiaID	ImageLink	Group
Paracyathus pulchellus	135163	https://www.mer-littoral.org/05/photos/paracyathus-pulchellus-0m.jpg	Anthozoa
Oikopleura dioica	103407	https://evodevogenomics-unibarcelona.weebly.com/uploads/2/1/9/1/21911022/___2523985.jpg	Appendicularia
Chaetoceros socialis	149123	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/alexandra_chaetocerossocialis_mecklenburgbight1_20070527154651_small.jpg	Bacillariophyceae
Chaetoceros densus	149121	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/chaetocerosdensus2l_pnw.jpg	Bacillariophyceae
Rhizosolenia delicatula	149114	https://images.marinespecies.org/thumbs/41937_guinardia-delicatula.jpg?w=700	Bacillariophyceae
Skeletonema costatum	149074	https://www.biodiversidadvirtual.org/common/4images/templates/responsive/images/blank.png	Bacillariophyceae
Chaetoceros danicus	149120	http://media.nordicmicroalgae.org/large/Chaetoceros%20danicus_3.jpg	Bacillariophyceae
Odontella aurita	149050	https://upload.wikimedia.org/wikipedia/commons/e/e7/Odontella_aurita_cells.jpg	Bacillariophyceae
Pseudevadne tergestina	106278	https://nathistoc.bio.uci.edu/crustacea/Cladocera/Pseudevadne%20tergestina/B04%20Cladoceran1b.jpg	Branchiopoda
Sapphirina nigromaculata	129053	https://copepodes.obs-banyuls.fr/copepodes_images_grandes/12995.jpg	Copepoda
Nannocalanus minor	104469	https://www.st.nmfs.noaa.gov/nauplius/media/copepedia/taxa/T4000025/photos/T4000025-002__cpi321-0541__Nannocalanus-minor.jpg	Copepoda
Pleuromamma abdominalis abdominalis	596242	https://planktonocean.files.wordpress.com/2022/05/pleuromamma_abdominalis.jpg	Copepoda
Clausocalanus arcuicornis	104502	http://sio-legacy.ucsd.edu/zooplanktonguide/sites/default/files/Clausocalanus_arcuicornis_1x8.jpg	Copepoda
Pseudocalanus elongatus	104515	https://content.eol.org/data/media/ac/e8/54/539.BNSCP_MT00786_1311359764_jpg.580x360.jpg	Copepoda
Centropages typicus	104499	https://media.collections.yale.edu/thumbnail/ypm/70b45824-b37e-4c76-be95-1e58f172c27d	Copepoda
Centropages hamatus	104496	https://images.marinespecies.org/thumbs/134838_centropages-hamatus.jpg?w=700	Copepoda
Temora longicornis	104878	https://images.marinespecies.org/thumbs/35096_temora-longicornis.jpg?w=700	Copepoda
Farranula rostrata	128814	https://copepodes.obs-banyuls.fr/copepodes_images_grandes/18692.jpg	Copepoda
Calanus helgolandicus	104466	https://www.mindenpictures.com/cache/pcache2/80085435.jpg	Copepoda
Euchirella rostrata	104303	https://images.marinespecies.org/thumbs/111098_euchirella-rostrata.jpg?w=700	Copepoda
Centropages violaceus	104500	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B16%5D%2B1513247676.jpg	Copepoda
Rhincalanus cornutus	104542	https://images.marinespecies.org/thumbs/40513_rhincalanus-cornutus-f.jpg?w=700	Copepoda
Temora stylifera	104879	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Temora_stylifera_%28YPM_IZ_101459%29.jpeg/1024px-Temora_stylifera_%28YPM_IZ_101459%29.jpeg	Copepoda
Pleuromamma gracilis gracilis	1436445	https://v3.boldsystems.org/pics/BMZ/CCDB-23222_%5B36%5D%2B1513252706.jpg	Copepoda
Candacia bipinnata	104475	https://images.marinespecies.org/thumbs/38055_candacia-bipinnata.jpg?w=700	Copepoda
Clausocalanus furcatus	104503	https://v3.boldsystems.org/pics/BACQ/C01%2B1467496248.jpg	Copepoda
Oithona nana	106651	https://www.researchgate.net/profile/Irina-Prusova/publication/233793652/figure/fig27/AS:669574215258115@1536650341071/Oithona-nana-Female-a-dorsal-view-b-lateral-view.png	Copepoda
Tripos teres	1381154	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/alexandra_ceratium_teres_c_ps95_022_n_20m_20170807141217_small.jpg	Dinophyceae
Scrippsiella acuminata	1321853	https://images.marinespecies.org/thumbs/40255_scrippsiella-trochoidea.jpg?w=700	Dinophyceae
Palaeophalacroma unicinctum	233359	http://bdi.conabio.gob.mx/fotoweb/cache/5004/Otros%20Archivos/Microorganismos/JSP173%20Palaeophalacroma%20unicinctum.t51702d24.m600.wConabioCornerCopy.jpg.xsdV8JK5c1bs1PmQCTJ7ulhGMefZ5c7X91vt-EuB8540.JPG	Dinophyceae
Protoperidinium murray	110236	https://ids.si.edu/ids/deliveryService/id/ark:/65665/m3e81b3427ae284371a615f8861ca77276/640	Dinophyceae
Alexandrium leei	109710	https://www.researchgate.net/profile/Chui-Pin-Leaw/publication/299202850/figure/fig5/AS:391356137656327@1470317982522/Alexandrium-leei-from-Aman-Island-A-a-roundish-vegetative-cell-with-conical-epitheca.png	Dinophyceae
Amphidinium operculatum	109745	https://content.eol.org/data/media/9f/6a/68/776.27471730.580x360.jpg	Dinophyceae
Dinophysis sacculus	232261	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/maria_antnia_sampayo_dinophysis_sacculus_division_arelho_xxw_20080429115928_small.jpg	Dinophyceae
Tripos carriensis	837448	http://bdi.conabio.gob.mx/fotoweb/cache/5004/Otros%20Archivos/Microorganismos/KEL0445%20Tripos%20carriensis%20var.%20volans.t52d4244c.m1200.wConabioCornerCopy.jpg.xsJyC6ygserC-Rktwb_wF647Le7cdCP-OB0QU3Wk7rYw.JPG	Dinophyceae
Pronoctiluca pelagica	109903	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/lartuz_minisee0008_20091101194730_small.jpg	Dinophyceae
Dinophysis fortii	109624	https://www.researchgate.net/profile/Beatriz-Reguera/publication/265921462/figure/fig6/AS:441016139423745@1482157849030/Micrografia-contraste-de-interfase-diferencial-400-X-de-Dinophysis-fortii-de-las.png	Dinophyceae
Prorocentrum mexicanum	231885	http://file.iocwestpac.org/HABs/Atlas%20of%20Dinoflagellates/prorocentrales/11Pmexicanum.jpg	Dinophyceae
Scrippsiella operosa	233789	https://ids.si.edu/ids/deliveryService/id/ark:/65665/m32e2400cafc5d4017b26292502e2ade8b/640	Dinophyceae
Tripos extensus	837460	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/alexandra_cer_ext2_ps95_009_20m_20160215221600_small.jpg	Dinophyceae
Calciodinellum albatrosianum	233839	https://www.mikrotax.org/images/ntax_non_cocco/Dinophytes/Thoracosphaeraceae/Tangential%20wall/Calciodinellum/Calciodinellum%20albatrosianum/Streng_et_al_2004pl3f-1.JPG	Dinophyceae
Noemiamea dolioliformis	140973	https://images.marinespecies.org/thumbs/67971_noemiamea-dolioliformis.jpg?w=700	Gastropoda
Jujubinus striatus	141815	https://images.marinespecies.org/thumbs/70187_jujubinus-striatus-linnaeus-1758-specimen-from-canuelo-malaga-spain-actual-size-7-1-mm.jpg?w=700	Gastropoda
Trapania maculata	140044	https://images.marinespecies.org/thumbs/48732_trapania-maculata.jpg?w=700	Gastropoda
Rissoa violacea	141374	https://images.marinespecies.org/thumbs/70226_rissoa-violacea-desmarest-1814specimen-from-genoveses-almeria-spain-actual-size-4-9-mm.jpg?w=700	Gastropoda
Cerithiopsis tubercularis	139085	https://images.marinespecies.org/thumbs/51579_cerithiopsis-tubercularis.jpg?w=700	Gastropoda
Jujubinus exasperatus	141807	https://images.marinespecies.org/thumbs/70184_jujubinus-exasperatus-pennant-1777-specimen-from-benalmadena-spain-actual-size-7-8-mm.jpg?w=700	Gastropoda
Ocinebrina aciculata	140407	https://images.marinespecies.org/thumbs/26431_ocinebrina-aciculata-lamarck-1822-specimen-from-benalmadena-s-spain-actual-size-12-mm.jpg?w=700	Gastropoda
Rissoella opalina	141149	https://images.marinespecies.org/thumbs/58210_rissoella-opalina.jpg?w=700	Gastropoda
Myosotella myosotis	139673	https://images.marinespecies.org/thumbs/63093_myosotella-myosotis.jpg?w=700	Gastropoda
Globigerinella calida	418106	https://ids.si.edu/ids/deliveryService/id/ark:/65665/m337a732472bbc411d92c7918f6dabd6a9/640	Globothalamea
Neogloboquadrina incompta	113474	https://images.marinespecies.org/thumbs/38542_neogloboquadrina-incompta.jpg?w=700	Globothalamea
Turborotalita quinqueloba	113462	https://images.marinespecies.org/thumbs/38453_turborotalita-quinqueloba.jpg?w=700	Globothalamea
Neogloboquadrina pachyderma	113458	https://images.marinespecies.org/thumbs/38537_neogloboquadrina-pachyderma.jpg?w=700	Globothalamea
Globorotalia scitula	113452	https://images.marinespecies.org/thumbs/38456_globorotalia-scitula.jpg?w=700	Globothalamea
Globigerinella siphonifera	113440	https://images.marinespecies.org/thumbs/38446_globigerinella-siphonifera.jpg?w=700	Globothalamea
Globoconella inflata	1026410	https://images.marinespecies.org/thumbs/38452_globorotalia-inflata.jpg?w=700	Globothalamea
Globigerinita glutinata	113464	https://images.marinespecies.org/thumbs/38450_globigerinita-glutinata.jpg?w=700	Globothalamea
Herentia hyndmanni	146821	https://www.researchgate.net/profile/Bjoern-Berning/publication/233425001/figure/fig1/AS:299976275054593@1448531325289/Herentia-hyndmanni-Johnston-1847-A-B-PMCRIHB-3c-Ionian-Sea-C-E-F-NHM.png	Gymnolaemata
Muggiaea atlantica	135441	https://planktonnet.awi.de/repository/rawdata-PlanktonNet2/viewable/muggiaeaatlanticaeudoxid_pnw.jpg	Hydrozoa
Eudoxoides spiralis	135424	https://images.marinespecies.org/thumbs/38144_eudoxoides-spiralis.jpg?w=700	Hydrozoa
Cordagalma bimaculatum	872583	https://media.collections.yale.edu/thumbnail/ypm/91ecbe43-499b-4f3f-b07f-73d9f7b4e0b2	Hydrozoa
Lensia subtilis	135439	https://www.researchgate.net/profile/Guilherme-Ribeiro-26/publication/304672045/figure/fig10/AS:849059162124288@1579442887339/FIGURES-14-16-14-Lateral-view-of-the-anterior-nectophore-of-Lensia-multicristata-scale.png	Hydrozoa
Diphyes dispar	135420	https://images.marinespecies.org/thumbs/38109_diphyes-dispar.jpg?w=700	Hydrozoa
Agalma elegans	135484	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Agalma_elegans.jpg/1052px-Agalma_elegans.jpg?20170924153701	Hydrozoa
Macropodia rostrata	107345	https://images.marinespecies.org/thumbs/47715_macropodia-rostrata.jpg?w=700	Malacostraca
Tritaeta gibbosa	102141	https://www.aphotomarine.com/images/prawns_isopoda/amphipod_tritaeta_gibbosa_23-04-16_1.jpg	Malacostraca
Eurydice pulchra	118852	https://upload.wikimedia.org/wikipedia/commons/7/78/Eurydice_pulchra.jpg	Malacostraca
Galathea intermedia	107150	https://images.marinespecies.org/thumbs/47692_galathea-intermedia.jpg?w=700	Malacostraca
Gammarella fucicola	102811	"https://www.discoverlife.org/IM/I_MWS/1056/640/Gammarella_fucicola,I_MWS105643.jpg"	Malacostraca
Chondrochelia savignyi	880874	https://media.collections.yale.edu/thumbnail/ypm/be9867cf-d86a-43a1-b044-b425d1c4fd26	Malacostraca
Gnathia dentata	118990	https://static.inaturalist.org/photos/101177468/medium.jpg	Malacostraca
Latreillia elegans	107265	https://v3.boldsystems.org/pics/MIWAD/UMBergen_MBOWA_brach137_2%2B1368479646.jpg	Malacostraca
Achaeus cranchii	107313	https://www.aphotomarine.com/images/crabs_lobsters/crab_achaeus_cranchii_30-03-17_7.jpg	Malacostraca
Apherusa ovalipes	102172	https://content.eol.org/data/media/b2/2e/f7/539.SWEMA_GNM7462_28Crust17260V_1425664238_JPG.jpg	Malacostraca
Pagurus prideaux	107239	https://images.marinespecies.org/thumbs/47714_pagurus-prideaux-and-adamsia-carciniopados.jpg?w=700	Malacostraca
Pereionotus testudo	102954	https://www.aphotomarine.com/images/prawns_isopoda/amphipoda_pereionotus_testudo_25-07-17_1.jpg	Malacostraca
Dexamine spinosa	102135	https://images.marinespecies.org/thumbs/8972_dexamine-spinosa.jpg?w=700	Malacostraca
Urothoe intermedia	103232	https://images.marinespecies.org/thumbs/10167_urothoe-sp-antxxiii-8-st-654-3-elephant-island.jpg?w=700	Malacostraca
Leptocheirus hirsutimanus	102036	https://www.researchgate.net/profile/Ton-Van-Haaren/publication/321868341/figure/fig4/AS:572575207170048@1513523975081/Leptocheirus-hirsutimanus-habitus-from-Cleaverbank-in-Dutch-Klaverbank.png	Malacostraca
Bodotria arenosa	110440	https://images.marinespecies.org/thumbs/126911_bodotria-arenosa-leloeuffi-ssp-nov.png?w=700	Malacostraca
Synalpheus gambarelloides	107490	https://inpn.mnhn.fr/photos/uploads/webtofs/inpn/ant/101303.jpg	Malacostraca
Eusirus longipes	102202	https://v3.boldsystems.org/pics/HABFA/ZMBN_136695%2B1603463050.JPG	Malacostraca
Apherusa vexatrix	102176	https://content.eol.org/data/media/ac/e7/27/539.BNSA_MT03985_1345034838_jpg.jpg	Malacostraca
Cleantis prismatica	119038	https://www.aphotomarine.com/images/prawns_isopoda/isopoda_cleantis_prismatica_05-10-17_1.jpg	Malacostraca
Abludomelita obtusata	102788	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Abludomelita_obtusata.jpg/800px-Abludomelita_obtusata.jpg	Malacostraca
Anapagurus hyndmanni	107217	https://static.inaturalist.org/photos/54237736/medium.jpg	Malacostraca
Apherusa chiereghinii	102162	https://content.eol.org/data/media/ac/e7/27/539.BNSA_MT03985_1345034838_jpg.jpg	Malacostraca
Cymodoce truncata	118936	https://images.marinespecies.org/thumbs/150804_cymodoce-truncata.jpg?w=700	Malacostraca
Anapagurus chiroacanthus	107215	https://v3.boldsystems.org/pics/HABFA/ZMBN_136566_l%2B1594391308.JPG	Malacostraca
Diogenes pugilator	107199	https://images.marinespecies.org/thumbs/34498_diogenes-pugilator-roux-1829.jpg?w=700	Malacostraca
Hippolyte garciarasoi	107509	https://litoraldegranada.ugr.es/wp-content/uploads/2021/01/Hlongirostrisport.jpg	Malacostraca
Vaunthompsonia cristata	110467	https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Cumopsis_goodsir%2C_male.jpg/1024px-Cumopsis_goodsir%2C_male.jpg	Malacostraca
Joeropsis brevicornis	118738	https://www.aphotomarine.com/images/prawns_isopoda2/isopoda_joeropsis_brevicornis_brevicornis_17-07-18_3.jpg	Malacostraca
Harpinia crenulata	102963	https://v3.boldsystems.org/pics/AMPNB/ZMBN_104029%2B1425918172.jpg	Malacostraca
Jassa marmorata	102433	https://www.sealifebase.se/images/species/Jamar_m0.jpg	Malacostraca
Microprotopus maculatus	102380	https://upload.wikimedia.org/wikipedia/commons/2/24/Microprotopus_maculatus_%28male%29.jpg	Malacostraca
Microdeutopus versiculatus	102053	https://upload.wikimedia.org/wikipedia/commons/d/df/Microdeutopus_anomalus_%28male%29.jpg	Malacostraca
Lekanesphaera hookeri	118953	https://images.marinespecies.org/thumbs/8953_lekanesphaera-hookeri.jpg?w=700	Malacostraca
Nepinnotheres pinnotheres	107469	https://www.researchgate.net/profile/Peter-Castro/publication/285578680/figure/fig4/AS:668644514209799@1536428683344/103-Pinnotheridae-A-Nepinnotheres-pinnotheres-female-in-host-the-ascidian.jpg	Malacostraca
Sirpus zariquieyi	107280	https://inpn.mnhn.fr/photos/uploads/webtofs/inpn/ant/101415.jpg	Malacostraca
Processa macrophthalma	107687	https://v3.boldsystems.org/pics/MIWAD/UMBergen_MBOWA_shrimp72%2B1377542420.JPG	Malacostraca
Perrierella audouiniana	102710	https://v3.boldsystems.org/pics/SWEMA/GNM7462_164Crust18660V%2B1427748254.JPG	Malacostraca
Siriella clausii	226375	https://www.aphotomarine.com/images/prawns_isopoda/mysida_siriella_clausii_07-01-17_1.jpg	Malacostraca
Abludomelita gladiosa	102787	https://www.aphotomarine.com/images/prawns_isopoda3/amphipoda_abludomelita_gladiosa_20-09-20_1.jpg	Malacostraca
Stenothoe gallensis	103163	https://v3.boldsystems.org/pics/ISWIO/B40_MPU%2B1558725182.jpg	Malacostraca
Monocorophium acherusicum	225814	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Monocorophium_acherusicum_%28YPM_IZ_081301%29.jpeg/1024px-Monocorophium_acherusicum_%28YPM_IZ_081301%29.jpeg	Malacostraca
