ScientificName
Noemiamea dolioliformis
Prionospio multibranchiata
Malmgrenia ljungmani
Salvatoria clavata
Macropodia rostrata
Sapphirina nigromaculata
Tritaeta gibbosa
Phaeocystis pouchetii
Jujubinus striatus
Eurydice pulchra
Chaetoceros socialis
Galathea intermedia
Nannocalanus minor
Pleuromamma abdominalis abdominalis
Tripos teres
Gammarella fucicola
Trapania maculata
Scrippsiella acuminata
Globigerinella calida
Chondrochelia savignyi
Rissoa violacea
Clausocalanus arcuicornis
Pseudocalanus elongatus
Cerithiopsis tubercularis
Neogloboquadrina incompta
Gnathia dentata
Centropages typicus
Exogone naidina
Latreillia elegans
Maupasia coeca
Achaeus cranchii
Mikroconchoecia echinulata
Eurysyllis tuberculata
Apherusa ovalipes
Pseudevadne tergestina
Pagurus prideaux
Muggiaea atlantica
Eudoxoides spiralis
Pereionotus testudo
Apionsoma (Apionsoma) murinae
Centropages hamatus
Cordagalma bimaculatum
Onchnesoma steenstrupii steenstrupii
Temora longicornis
Dexamine spinosa
Farranula rostrata
Jujubinus exasperatus
Paramecium bursaria
Urothoe intermedia
Syllis gerlachi
Palaeophalacroma unicinctum
Leptocheirus hirsutimanus
Turborotalita quinqueloba
Bodotria arenosa
Ocinebrina aciculata
Synalpheus gambarelloides
Rissoella opalina
Eusirus longipes
Protoperidinium murray
Alexandrium leei
Apherusa vexatrix
Amphidinium operculatum
Dinophysis sacculus
Neogloboquadrina pachyderma
Cleantis prismatica
Abludomelita obtusata
Anapagurus hyndmanni
Lensia subtilis
Oikopleura dioica
Chaetoceros densus
Apherusa chiereghinii
Tripos carriensis
Cymodoce truncata
Anapagurus chiroacanthus
Diogenes pugilator
Calanus helgolandicus
Hippolyte garciarasoi
Sphaerosyllis hystrix
Vaunthompsonia cristata
Joeropsis brevicornis
Pronoctiluca pelagica
Harpinia crenulata
Globorotalia scitula
Derbesia tenuissima
Diphyes dispar
Globigerinella siphonifera
Euchirella rostrata
Leptochiton cancellatus
Rhizosolenia delicatula
Jassa marmorata
Microprotopus maculatus
Globoconella inflata
Centropages violaceus
Rhincalanus cornutus
Temora stylifera
Zoothamnium pelagicum
Dinophysis fortii
Sphaerosyllis pirifera
Skeletonema costatum
Holosticha diademata
Microdeutopus versiculatus
Agalma elegans
Lekanesphaera hookeri
Nepinnotheres pinnotheres
Ectocarpus siliculosus
Globigerinita glutinata
Herentia hyndmanni
Sirpus zariquieyi
Processa macrophthalma
Pleuromamma gracilis gracilis
Perrierella audouiniana
Siriella clausii
Lumbrineriopsis paradoxa
Abludomelita gladiosa
Chaetoceros danicus
Prorocentrum mexicanum
Paracyathus pulchellus
Stenothoe gallensis
Odontella aurita
Myosotella myosotis
Candacia bipinnata
Clausocalanus furcatus
Oithona nana
Trithigmostoma cucullulus
Monocorophium acherusicum
Scrippsiella operosa
Stenothoe monoculoides
Amage adspersa
Aspidosiphon (Aspidosiphon) muelleri kovalevskii
Tripos extensus
Calciodinellum albatrosianum
Leucothoe spinicarpa
Owenia fusiformis
