ScientificName	AphiaID	Match type	LSID	TSN	ScientificName	Authority	Qualitystatus	Taxon status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation
ScientificName														
Noemiamea dolioliformis	140973	exact	urn:lsid:marinespecies.org:taxname:140973		Noemiamea dolioliformis	(Jeffreys, 1848)	Checked by Taxonomic Editor	accepted	140973	Noemiamea dolioliformis	(Jeffreys, 1848)	Animalia	Mollusca	Gastropoda		Pyramidellidae	Noemiamea		dolioliformis		1				MolluscaBase eds. (2022). MolluscaBase. Noemiamea dolioliformis (Jeffreys, 1848). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140973 on 2022-10-01
Prionospio multibranchiata	ambiguous																							
Malmgrenia ljungmani	152304	exact	urn:lsid:marinespecies.org:taxname:152304		Malmgrenia ljungmani	(Malmgren, 1867)	Checked by Taxonomic Editor	accepted	152304	Malmgrenia ljungmani	(Malmgren, 1867)	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgrenia		ljungmani		1	0	0	0	Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Malmgrenia ljungmani (Malmgren, 1867). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152304 on 2022-10-01
Salvatoria clavata	195986	exact	urn:lsid:marinespecies.org:taxname:195986		Salvatoria clavata	(Claparède, 1863)	Checked by Taxonomic Editor	accepted	195986	Salvatoria clavata	(Claparède, 1863)	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Salvatoria		clavata		1	0	0	0	Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Salvatoria clavata (Claparède, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=195986 on 2022-10-01
Macropodia rostrata	107345	exact	urn:lsid:marinespecies.org:taxname:107345	98555	Macropodia rostrata	(Linnaeus, 1761)	Checked by Taxonomic Editor	accepted	107345	Macropodia rostrata	(Linnaeus, 1761)	Animalia	Arthropoda	Malacostraca	Decapoda	Inachidae	Macropodia		rostrata		1	0	0	0	WoRMS (2022). Macropodia rostrata (Linnaeus, 1761). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107345 on 2022-10-01
Sapphirina nigromaculata	129053	exact	urn:lsid:marinespecies.org:taxname:129053	88834	Sapphirina nigromaculata	Claus, 1863	Checked by Taxonomic Editor	accepted	129053	Sapphirina nigromaculata	Claus, 1863	Animalia	Arthropoda	Copepoda	Cyclopoida	Sapphirinidae	Sapphirina		nigromaculata		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Sapphirina nigromaculata Claus, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129053 on 2022-10-01
Tritaeta gibbosa	102141	exact	urn:lsid:marinespecies.org:taxname:102141		Tritaeta gibbosa	(Spence Bate, 1862)	Checked by Taxonomic Editor	accepted	102141	Tritaeta gibbosa	(Spence Bate, 1862)	Animalia	Arthropoda	Malacostraca	Amphipoda	Dexaminidae	Tritaeta		gibbosa		1				Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Tritaeta gibbosa (Spence Bate, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102141 on 2022-10-01
Phaeocystis pouchetii	115106	exact	urn:lsid:marinespecies.org:taxname:115106	2173	Phaeocystis pouchetii	(Hariot) Lagerheim, 1896	Checked by Taxonomic Editor	accepted	115106	Phaeocystis pouchetii	(Hariot) Lagerheim, 1896	Chromista	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis		pouchetii		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Phaeocystis pouchetii (Hariot) Lagerheim, 1896. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=115106 on 2022-10-01
Jujubinus striatus	141815	exact	urn:lsid:marinespecies.org:taxname:141815	204879	Jujubinus striatus	(Linnaeus, 1758)	Checked by Taxonomic Editor	accepted	141815	Jujubinus striatus	(Linnaeus, 1758)	Animalia	Mollusca	Gastropoda	Trochida	Trochidae	Jujubinus		striatus		1	0	0	0	MolluscaBase eds. (2022). MolluscaBase. Jujubinus striatus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=141815 on 2022-10-01
Eurydice pulchra	118852	exact	urn:lsid:marinespecies.org:taxname:118852	92246	Eurydice pulchra	Leach, 1815	Checked by Taxonomic Editor	accepted	118852	Eurydice pulchra	Leach, 1815	Animalia	Arthropoda	Malacostraca	Isopoda	Cirolanidae	Eurydice		pulchra		1	1	0	0	Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Eurydice pulchra Leach, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118852 on 2022-10-01
Chaetoceros socialis	149123	exact	urn:lsid:marinespecies.org:taxname:149123	2827	Chaetoceros socialis	H.S.Lauder, 1864	Edited by Database Management Team	accepted	149123	Chaetoceros socialis	H.S.Lauder, 1864	Chromista	Ochrophyta	Bacillariophyceae	Chaetocerotanae incertae sedis	Chaetocerotaceae	Chaetoceros		socialis		1			0	Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2022). DiatomBase. Chaetoceros socialis H.S.Lauder, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149123 on 2022-10-01
Galathea intermedia	107150	exact	urn:lsid:marinespecies.org:taxname:107150	98052	Galathea intermedia	Lilljeborg, 1851	Checked by Taxonomic Editor	accepted	107150	Galathea intermedia	Lilljeborg, 1851	Animalia	Arthropoda	Malacostraca	Decapoda	Galatheidae	Galathea		intermedia		1	0	0	0	WoRMS (2022). Galathea intermedia Lilljeborg, 1851. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107150 on 2022-10-01
Nannocalanus minor	104469	exact	urn:lsid:marinespecies.org:taxname:104469	85275	Nannocalanus minor	(Claus, 1863)	Checked by Taxonomic Editor	accepted	104469	Nannocalanus minor	(Claus, 1863)	Animalia	Arthropoda	Copepoda	Calanoida	Calanidae	Nannocalanus		minor		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Nannocalanus minor (Claus, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104469 on 2022-10-01
Pleuromamma abdominalis abdominalis	596242	exact	urn:lsid:marinespecies.org:taxname:596242		Pleuromamma abdominalis abdominalis	(Lubbock, 1856)	Checked by Taxonomic Editor	accepted	596242	Pleuromamma abdominalis abdominalis	(Lubbock, 1856)	Animalia	Arthropoda	Copepoda	Calanoida	Metridinidae	Pleuromamma		abdominalis	abdominalis	1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Pleuromamma abdominalis abdominalis (Lubbock, 1856). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=596242 on 2022-10-01
Tripos teres	1381154	exact	urn:lsid:marinespecies.org:taxname:1381154		Tripos teres	(Kofoid) F.Gómez, 2013	Checked by Taxonomic Editor	accepted	1381154	Tripos teres	(Kofoid) F.Gómez, 2013	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos		teres		1				Guiry, M.D. & Guiry, G.M. (2022). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Tripos teres (Kofoid) F.Gómez, 2013. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1381154 on 2022-10-01
Gammarella fucicola	102811	exact	urn:lsid:marinespecies.org:taxname:102811		Gammarella fucicola	(Leach, 1814)	Checked by Taxonomic Editor	accepted	102811	Gammarella fucicola	(Leach, 1814)	Animalia	Arthropoda	Malacostraca	Amphipoda	Nuuanuidae	Gammarella		fucicola		1	0	0	0	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Gammarella fucicola (Leach, 1814). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102811 on 2022-10-01
Trapania maculata	140044	exact	urn:lsid:marinespecies.org:taxname:140044	205271	Trapania maculata	Haefelfinger, 1960	Checked by Taxonomic Editor	accepted	140044	Trapania maculata	Haefelfinger, 1960	Animalia	Mollusca	Gastropoda	Nudibranchia	Goniodorididae	Trapania		maculata		1				MolluscaBase eds. (2022). MolluscaBase. Trapania maculata Haefelfinger, 1960. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140044 on 2022-10-01
